article,method,our,our_rangeminus,our_rangeplus,depth,depth_range,water_mass,latitude,longitude,ocean
Hennon et al. (2016),O2 (Argo floats),36.00292113,18.07205453,18.07205453,120,-9999,-9999,35.5,152,Pacific
Hennon et al. (2016),O2 (Argo floats),29.50827653,11.57740993,11.57740993,150,-9999,-9999,35.5,152,Pacific
Hennon et al. (2016),O2 (Argo floats),20.89581305,8.330087634,8.330087634,200,-9999,-9999,35.5,152,Pacific
Hennon et al. (2016),O2 (Argo floats),12.56572541,9.318403116,9.318403116,250,-9999,-9999,35.5,152,Pacific
Billheimer et al. (2021),O2 (Argo floats),36.135,-9999,-9999,115,-9999,-9999,36,60,Atlantic
Billheimer et al. (2021),O2 (Argo floats),58.4,-9999,-9999,115,-9999,-9999,36,60,Atlantic
Sonnerup et al. (2019),O2 + CFC12 + SF6,20.9,7.3,7.3,117,23,26.1-26.2,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,11.2,4.7,4.7,117,23,26.1-26.2,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,2.8,0.5,0.5,144,29,26.2-26.4,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,1.9,0.3,0.3,144,29,26.2-26.4,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,1.5,-9999,-9999,191,15,26.4-26.5,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,0.8,0.4,0.4,396,15,26.8-26.9,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,0.6,0.2,0.2,479,29,26.9-27.0,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,1.3,0.5,0.5,544,44,27.0-27.1,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,0.9,0.2,0.2,667,50,27.1-27.2,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,3.19,-9999,-9999,117,23,26.1-26.2,-17,-80,Pacific
Sonnerup et al. (2019),O2 + CFC12 + SF6,0.11,0.01,0.01,144,29,26.2-26.4,-17,-80,Pacific
Stramma et al. (2010),O2 + current measurements,4,-9999,-9999,400,-9999,-9999,0,-125,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,6.6,1.1,1.1,275,-9999,25.5-26.0,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,4.8,0.6,0.6,350,-9999,26.0-26.2,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,3.5,0.5,0.5,410,-9999,26.2-26.4,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,3.2,0.3,0.3,490,-9999,26.4-26.6,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,5.1,1.4,1.4,275,-9999,25.5-26.0,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,3.8,0.6,0.6,350,-9999,26.0-26.2,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,3.4,0.3,0.3,410,-9999,26.2-26.4,30,-152,Pacific
Sonnerup et al. (1999),O2 + CFC11 + 1D AD model,3.5,0.8,0.8,490,-9999,26.4-26.6,30,-152,Pacific
Weinbauer et al. (2013),O2 (incubations),273.1292517,166.6088435,166.6088435,300,-9999,-9999,43.85,7.32,Mediterranean
Olson et al. (1993),O2 + CFC11,4.383504,-9999,-9999,600,400,-9999,8,62,Indian
Warner & Weiss (1992),O2 + CFC11 + CFC12 + 1D AD model,2.7,2,2,600,-9999,AAIW,-35,0,Atlantic
Warner et al. (1996),O2 + CFC11,15,-9999,-9999,-9999,-9999,-9999,47,-170,Pacific
Warner et al. (1996),O2 + CFC11,9,-9999,-9999,-9999,-9999,-9999,24,-170,Pacific
Jenkins (2008),O2 + CFC11 + CFC12 + water mass model,14.48,-9999,-9999,400,200,-9999,40,135,Pacific
Jenkins (2008),O2 + CFC11 + CFC12 + water mass model,1.73,-9999,-9999,1050,450,-9999,40,135,Pacific
Jenkins (2008),O2 + CFC11 + CFC12 + water mass model,0.75,-9999,-9999,2000,500,-9999,40,135,Pacific
Jenkins (2008),O2 + CFC11 + CFC12 + water mass model,0.74,-9999,-9999,2500,-9999,-9999,40,135,Pacific
Takahata et al. (2008),O2 + T/3He,3.6,0.4,0.4,750,250,-9999,41.3,137.4,Pacific
Takahata et al. (2008),O2 + T/3He,2.7,0.3,0.3,750,250,-9999,40.4,137.4,Pacific
Wallace et al. (1987),O2 + CFC-11 + CFC-12 + 1.5D model,18.38063158,-9999,-9999,60,-9999,-9999,85.83,-108.83,Arctic
Wallace et al. (1987),O2 + CFC-11 + CFC-12 + 1.5D model,2.827789474,-9999,-9999,78,-9999,-9999,85.83,-108.83,Arctic
Wallace et al. (1987),O2 + CFC-11 + CFC-12 + 1.5D model,4.825684211,-9999,-9999,110,-9999,-9999,85.83,-108.83,Arctic
Wallace et al. (1987),O2 + CFC-11 + CFC-12 + 1.5D model,5.870736842,-9999,-9999,150,-9999,-9999,85.83,-108.83,Arctic
